focalMethod,X,ReabilityScore,,usabilityScore,,Y,ReabilityScore,,usabilityScore,,Z,ReabilityScore,,usabilityScore,
"public JsonBeanAttribute setEnumValue(EnumValue enumValue) {
    this.enumValue = enumValue;
    return this;
}","@Test public void testSetEnumValue() throws Exception { JsonBeanAttribute jsonBeanAttribute = new JsonBeanAttribute(); JsonBeanAttribute jsonBeanAttribute2 = jsonBeanAttribute.setEnumValue(EnumValue.of(""test"")); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); Assert.assertEquals(""test"", jsonBeanAttribute2.getJsonKey()); }
",3,1,1,1,"@Test(timeout = 4000)
public void test03() throws Throwable {
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonEnum.EnumValue jsonEnum_EnumValue0 = JsonEnum.EnumValue.STRING;
    JsonBeanAttribute jsonBeanAttribute1 = jsonBeanAttribute0.setEnumValue(jsonEnum_EnumValue0);
    JsonEnum.EnumValue jsonEnum_EnumValue1 = jsonBeanAttribute1.getEnumValue();
    assertEquals(JsonEnum.EnumValue.STRING, jsonEnum_EnumValue1);
}",3,3,3,3,"@Test
public void testSetEnumValue() {
    JsonBeanAttribute jsonBeanAttribute = new JsonBeanAttribute();

    JsonEnum.EnumValue enumValue = JsonEnum.EnumValue.STRING;

    JsonBeanAttribute result = jsonBeanAttribute.setEnumValue(enumValue);
    assertEquals(enumValue, result.getEnumValue());
}",3,3,3,3
"public void signRequest(Token accessToken, OAuthRequest request) {
    request.addQuerystringParameter(OAuthConstants.ACCESS_TOKEN, accessToken.getToken());
}","@Test public void testSignRequest() throws Exception { OAuthRequest request = new OAuthRequest(); service.signRequest(accessToken, request); Assert.assertNotNull(request); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); Assert.assertEquals(OAuthConstants.ACCESS_TOKEN, request.getQuerystringParameter(OAuthConstants.ACCESS_TOKEN)); }
",1,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    InstagramApi instagramApi0 = new InstagramApi();
    OAuthConfig oAuthConfig0 = new OAuthConfig(""org.jinstagram.entity.users.feed.MediaFeed"", ""f39fuOB["", ""Em5h$=2gsP=]7=zA"", ""Em5h$=2gsP=]7=zA"", """");
    InstagramService instagramService0 = instagramApi0.createService(oAuthConfig0);
    Token token0 = new Token("""", ""|[QBcb4"");
    Verbs verbs0 = Verbs.PUT;
    OAuthRequest oAuthRequest0 = new OAuthRequest(verbs0, ""f39fuOB["");
    instagramService0.signRequest(token0, oAuthRequest0);
    assertEquals(""1.0"", instagramService0.getVersion());
}",1,2,1,1,"@Test
public void testSignRequest() {
    Token accessToken = new Token(""mockAccessToken"", ""mockSecret"");

    OAuthRequest request = new OAuthRequest(Verbs.GET, ""https:"");

    InstagramService instagramService = new InstagramService(null, null);
    instagramService.signRequest(accessToken, request);
    assertEquals(""mockAccessToken"", request.getQueryStringParams().get(OAuthConstants.ACCESS_TOKEN));
}",3,3,2,2
"public String getVersion() {
    return VERSION;
}","@Test public void testGetVersion() { InstagramService instagramService = new InstagramService(api, config); Assert.assertEquals(InstagramService.VERSION, instagramService.getVersion()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test0() throws Throwable {
    InstagramApi instagramApi0 = new InstagramApi();
    OAuthConfig oAuthConfig0 = new OAuthConfig(""org.jinstagram.entity.users.feed.MediaFeed"", ""f39fuOB["", ""Em5h$=2gsP=]7=zA"", ""Em5h$=2gsP=]7=zA"", """");
    InstagramService instagramService0 = instagramApi0.createService(oAuthConfig0);
    Token token0 = new Token("""", ""|[QBcb4"");
    Verbs verbs0 = Verbs.PUT;
    OAuthRequest oAuthRequest0 = new OAuthRequest(verbs0, ""f39fuOB["");
    instagramService0.signRequest(token0, oAuthRequest0);
    assertEquals(""1.0"", instagramService0.getVersion());
}",1,2,1,1,"    @Test
    public void testGetVersion() {
        InstagramService instagramService = new InstagramService(null, null);
        String version = instagramService.getVersion();
        assertNotNull(version);
        assertEquals(""1.0"", version);
    }",3,3,3,3
"public Token getRequestToken() {
    throw new UnsupportedOperationException(""Unsupported operation, please use 'getAuthorizationUrl' and redirect your users there"");
}","@Test(expected = UnsupportedOperationException.class) public void testGetRequestToken() { InstagramService instagramService = new InstagramService(api, config); instagramService.getRequestToken(); }
",3,3,3,3,"@Test(timeout = 4000)
public void test5() throws Throwable {
    InstagramApi instagramApi0 = new InstagramApi();
    InstagramService instagramService0 = instagramApi0.createService((OAuthConfig) null);
    // Undeclared exception!
    try {
        instagramService0.getRequestToken();
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        // 
        // Unsupported operation, please use 'getAuthorizationUrl' and redirect your users there
        // 
        verifyException(""org.jinstagram.auth.oauth.InstagramService"", e);
    }
}",2,1,1,1,"    @Test(expected = UnsupportedOperationException.class)
    public void testGetRequestToken() {
        InstagramService instagramService = new InstagramService(null, null);
        instagramService.getRequestToken();
    }",3,3,3,3
"public void addOAuthParameter(String key, String value) {
    oauthParameters.put(checkKey(key), value);
}","@Test public void testAddOAuthParameter() throws Exception { OAuthRequest request = new OAuthRequest(Verbs.GET, ""http: request.addOAuthParameter(""key"", ""value""); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""key"")); Assert.assertEquals(""value"", request.getOAuthParameters().get(""value"")); }
",2,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    Verbs verbs0 = Verbs.DELETE;
    OAuthRequest oAuthRequest0 = new OAuthRequest(verbs0, ""oauth_"");
    oAuthRequest0.addOAuthParameter(""oauth_"", ""po1;qh9e-B"");
    Map<String, String> map0 = oAuthRequest0.getOauthParameters();
    assertFalse(map0.isEmpty());
}",3,3,2,2,"    @Test
    public void testAddOAuthParameter() {
        // Create an instance of OAuthRequest
        OAuthRequest oauthRequest = new OAuthRequest(Verbs.GET, ""https://example.com"");

        // Add an OAuth parameter
        String key = ""oauth_key"";
        String value = ""oauth_value"";
        oauthRequest.addOAuthParameter(key, value);

        // Retrieve the OAuth parameters
        Map<String, String> oauthParameters = oauthRequest.getOauthParameters();

        // Verify that the OAuth parameter was added correctly
        assertTrue(oauthParameters.containsKey(key));
        assertEquals(value, oauthParameters.get(key));
    }",3,3,3,3
"public Map<String, String> getOauthParameters() {
    return oauthParameters;
}","@Test public void testGetOAuthParameters() throws Exception { Map<String, String> params = new HashMap<>(); params.put(""key"", ""value""); params.put(""key2"", ""value2""); params.put(""key3"", ""value3""); params.put(""key4"", ""value4""); params.put(""key5"", ""value5""); params.put(""key6"", ""value6""); params.put(""key7"", ""value6""); params.put(""key7"", ""value6""); params.put(""key7"", ""value7""); OAuthRequest oauthRequest = new OAuthRequest(Verbs.GET, ""https: assertEquals(params, oauthRequest.getOAuthParameters()); }
",2,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    Verbs verbs0 = Verbs.DELETE;
    OAuthRequest oAuthRequest0 = new OAuthRequest(verbs0, ""oauth_"");
    oAuthRequest0.addOAuthParameter(""oauth_"", ""po1;qh9e-B"");
    Map<String, String> map0 = oAuthRequest0.getOauthParameters();
    assertFalse(map0.isEmpty());
}",3,3,2,2,"@Test
public void testGetOauthParameters() {
    OAuthRequest oauthRequest = new OAuthRequest(Verbs.GET, ""https://example.com"");
    oauthRequest.addOAuthParameter(""oauth_key"", ""oauth_value"");
    Map<String, String> oauthParameters = oauthRequest.getOauthParameters();
    
    // Assertion statement
    assertEquals(1, oauthParameters.size());
    assertTrue(oauthParameters.containsKey(""oauth_key""));
    assertEquals(""oauth_value"", oauthParameters.get(""oauth_key""));
}",3,3,3,3
"@Override
public String toString() {
    return String.format(""@OAuthRequest(%s, %s)"", getVerb(), getUrl());
}","@Test public void testToString() { String expected = ""@OAuthRequest(GET, GET)""; assertEquals(expected, new OAuthRequest(GET, GET).toString()); }
",2,2,1,1,"@Test(timeout = 4000)
public void test3() throws Throwable {
    Verbs verbs0 = Verbs.DELETE;
    OAuthRequest oAuthRequest0 = new OAuthRequest(verbs0, ""oauth_"");
    String string0 = oAuthRequest0.toString();
    assertEquals(""@OAuthRequest(DELETE, oauth_)"", string0);
}",3,3,3,3,"    @Test
    public void testToString() {
        // Create a new OAuthRequest object
        OAuthRequest request = new OAuthRequest(Verbs.GET, ""https://example.com"");

        // Call the toString() method
        String result = request.toString();

        // Verify that the result is formatted correctly
        assertEquals(""@OAuthRequest(GET, https://example.com)"", result);
    }",3,3,3,3
"public String getToken() {
    return token;
}","@Test public void testGetToken() { assertEquals(""token"", token.getToken()); }
",3,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    Token token0 = new Token((String) null, ""1`dZhu@f&';g>u:fM"");
    String string0 = token0.getToken();
    assertNull(string0);
}",3,2,1,2,"    @Test
    public void testGetToken() {
        // Create a new Token object
        Token token = new Token(""abc123"", ""secret"");

        // Call the getToken() method
        String result = token.getToken();

        // Assert that the returned token is correct
        assertEquals(""abc123"", result);
    }",3,3,3,3
"public String getSecret() {
    return secret;
}","@Test public void testGetSecret() { assertEquals(""secret"", token.getSecret()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test2() throws Throwable {
    Token token0 = new Token("""", (String) null, ""Token[%s , %s]"");
    String string0 = token0.getSecret();
    assertNull(string0);
    assertEquals("""", token0.getToken());
}",3,2,2,2,"    @Test
    public void testGetSecret() {
        // Create a new Token object with a token and secret
        Token token = new Token(""myToken"", ""mySecret"");

        // Call the getSecret() method and store the result
        String secret = token.getSecret();

        // Assert that the returned secret is equal to the expected secret
        assertEquals(""mySecret"", secret);
    }",3,3,3,3
"public String getRawResponse() {
    if (rawResponse == null) {
        throw new IllegalStateException(""This token object was not constructed "" + ""by jInstagramAuthService and does not have a rawResponse"");
    }
    return rawResponse;
}","@Test public void testGetRawResponse() { Token token = new Token(""token"", ""secret""); assertEquals(""secret"", token.getRawResponse()); }
",2,2,1,1,"@Test(timeout = 4000)
public void test4() throws Throwable {
    Token token0 = new Token("""", (String) null, ""Token[%s , %s]"");
    String string0 = token0.getRawResponse();
    assertEquals("""", token0.getToken());
    assertEquals(""Token[%s , %s]"", string0);
}",2,2,1,1,"    @Test
    public void testGetRawResponse() {
        // Create a token object with a non-null raw response
        Token token = new Token(""token"", ""secret"", ""rawResponse"");

        // Call the getRawResponse() method and assert that it returns the expected raw response
        String rawResponse = token.getRawResponse();
        assertEquals(""rawResponse"", rawResponse);
    }",3,3,3,3
"public String getScope() {
    return scope;
}","@Test public void testGetScope() throws Exception { OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret""); Assert.assertEquals(""scope"", oauthConfig.getScope()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig(""NFAt&SK3XS32']%md\r"", (String) null, (String) null, (String) null, (String) null);
    String string0 = oAuthConfig0.getScope();
    assertEquals(""oob"", oAuthConfig0.getCallback());
    assertNull(string0);
}",3,3,2,2,"    @Test
    public void testGetScope() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"", ""callback"", ""scope"");

        // Get the scope value using the getScope() method
        String scope = oauthConfig.getScope();

        // Assert that the scope value is not null
        assertNotNull(scope);

        // Assert that the scope value is equal to the expected value
        assertEquals(""scope"", scope);
    }",3,3,3,3
"public String getCallback() {
    return callback;
}","@Test public void testGetCallback() { OAuthConfig config = new OAuthConfig(""key"", ""secret""); assertEquals(""callback"", config.getCallback()); }
",2,2,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig(""NFAt&SK3XS32']%md\r"", (String) null, (String) null, (String) null, (String) null);
    String string0 = oAuthConfig0.getScope();
    assertEquals(""oob"", oAuthConfig0.getCallback());
    assertNull(string0);
}",2,2,1,1,"    @Test
    public void testGetCallback() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"", ""callback"", ""scope"", ""display"");

        // Get the callback value using the getCallback() method
        String callback = oauthConfig.getCallback();

        // Assert that the retrieved callback value is equal to the expected value
        assertEquals(""callback"", callback);
    }",3,3,3,3
"public void setRequestProxy(Proxy requestProxy) {
    this.requestProxy = requestProxy;
}","@Test public void testSetRequestProxy() { OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret""); proxy = new Proxy(""http: oauthConfig.setRequestProxy(proxy); }
",2,1,1,1,"@Test(timeout = 4000)
public void test02() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig("""", """", """", """");
    Proxy proxy0 = Proxy.NO_PROXY;
    oAuthConfig0.setRequestProxy(proxy0);
    oAuthConfig0.getRequestProxy();
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getCallback());
}",2,2,2,2,"@Test
public void testSetRequestProxy() {
    OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"");

    Proxy proxy = Proxy.NO_PROXY;

    oauthConfig.setRequestProxy(proxy);
    assertEquals(proxy, oauthConfig.getRequestProxy());
}",3,3,3,3
"public Proxy getRequestProxy() {
    return requestProxy;
}","@Test public void testGetRequestProxy() throws Exception { OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret""); Assert.assertNotNull(oauthConfig.getRequestProxy()); Assert.assertEquals(""key"", oauthConfig.getRequestProxy().getKey()); Assert.assertEquals(""secret"", oauthConfig.getRequestProxy().getSecret()); Assert.assertEquals(""callback"", oauthConfig.getRequestProxy().getCallback()); Assert.assertEquals(""scope"", oauthConfig.getRequestProxy().getScope()); Assert.assertEquals(""display"", oauthConfig.getRequestProxy().getDisplay()); Assert.assertEquals(""display"", oauthConfig.getRequestProxy().getScope()); Assert.assertEquals(""display"", oauthConfig.getRequestProxy().getDisplay()); }
",2,2,1,1,"@Test(timeout = 4000)
public void test02() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig("""", """", """", """");
    Proxy proxy0 = Proxy.NO_PROXY;
    oAuthConfig0.setRequestProxy(proxy0);
    oAuthConfig0.getRequestProxy();
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getCallback());
}",2,2,1,1,"    @Test
    public void testGetRequestProxy() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"");

        // Create a Proxy object
        Proxy proxy = Proxy.NO_PROXY;

        // Set the Proxy object to the OAuthConfig instance
        oauthConfig.setRequestProxy(proxy);

        // Retrieve the Proxy object using getRequestProxy()
        Proxy retrievedProxy = oauthConfig.getRequestProxy();

        // Assert that the retrieved Proxy object is equal to the original Proxy object
        assertEquals(proxy, retrievedProxy);
    }",3,3,3,3
"public boolean hasScope() {
    return scope != null;
}","@Test public void testHasScope() { OAuthConfig config = new OAuthConfig(""key"", ""secret""); assertTrue(config.hasScope()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test02() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig("""", """", """", """");
    Proxy proxy0 = Proxy.NO_PROXY;
    oAuthConfig0.setRequestProxy(proxy0);
    oAuthConfig0.getRequestProxy();
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getCallback());
}",2,2,2,2,"    @Test
    public void testHasScope() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"");

        // Test when scope is null
        assertFalse(oauthConfig.hasScope());

        // Test when scope is not null
        oauthConfig = new OAuthConfig(""key"", ""secret"", ""callback"", ""scope"");
        assertTrue(oauthConfig.hasScope());
    }",3,3,3,3
"public String getDisplay() {
    return display;
}","@Test public void testGetDisplay() { OAuthConfig config = new OAuthConfig(""key"", ""secret""); assertEquals(""display"", config.getDisplay()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test03() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig(""J{Q=M"", ""J{Q=M"", (String) null, """", ""y*c+;*o7Lzs9S],ng!"");
    String string0 = oAuthConfig0.getDisplay();
    assertEquals(""y*c+;*o7Lzs9S],ng!"", string0);
    assertEquals(""J{Q=M"", oAuthConfig0.getApiSecret());
    assertNotNull(string0);
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getScope());
    assertEquals(""oob"", oAuthConfig0.getCallback());
    assertEquals(""J{Q=M"", oAuthConfig0.getApiKey());
}",2,2,1,1,"@Test(timeout = 4000)
public void testGetDisplay() throws Throwable {
    // Given
    String expectedDisplay = ""y*c+;*o7Lzs9S],ng!"";
    OAuthConfig oAuthConfig = new OAuthConfig(""J{Q=M"", ""J{Q=M"", null, """", expectedDisplay);
    
    // When
    String actualDisplay = oAuthConfig.getDisplay();
    
    // Then
    assertEquals(expectedDisplay, actualDisplay);
}

}
",3,3,3,3
"public String getApiSecret() {
    return apiSecret;
}","@Test public void testGetApiSecret() { OAuthConfig config = new OAuthConfig(""key"", ""secret""); assertEquals(""secret"", config.getApiSecret()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test03() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig(""J{Q=M"", ""J{Q=M"", (String) null, """", ""y*c+;*o7Lzs9S],ng!"");
    String string0 = oAuthConfig0.getDisplay();
    assertEquals(""y*c+;*o7Lzs9S],ng!"", string0);
    assertEquals(""J{Q=M"", oAuthConfig0.getApiSecret());
    assertNotNull(string0);
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getScope());
    assertEquals(""oob"", oAuthConfig0.getCallback());
    assertEquals(""J{Q=M"", oAuthConfig0.getApiKey());
}",2,2,1,1,"    @Test
    public void testGetApiSecret() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"");

        // Call the getApiSecret() method
        String apiSecret = oauthConfig.getApiSecret();

        // Assert that the returned value is not null
        assertNotNull(apiSecret);

        // Assert that the returned value is equal to the secret provided during initialization
        assertEquals(""secret"", apiSecret);
    }",3,3,3,3
"public String getApiKey() {
    return apiKey;
}","@Test public void testGetApiKey() throws Exception { OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret""); Assert.assertEquals(""key"", oauthConfig.getApiKey()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test03() throws Throwable {
    OAuthConfig oAuthConfig0 = new OAuthConfig(""J{Q=M"", ""J{Q=M"", (String) null, """", ""y*c+;*o7Lzs9S],ng!"");
    String string0 = oAuthConfig0.getDisplay();
    assertEquals(""y*c+;*o7Lzs9S],ng!"", string0);
    assertEquals(""J{Q=M"", oAuthConfig0.getApiSecret());
    assertNotNull(string0);
    assertTrue(oAuthConfig0.hasScope());
    assertEquals("""", oAuthConfig0.getScope());
    assertEquals(""oob"", oAuthConfig0.getCallback());
    assertEquals(""J{Q=M"", oAuthConfig0.getApiKey());
}",2,2,1,1,"    @Test
    public void testGetApiKey() {
        // Create an instance of OAuthConfig
        OAuthConfig oauthConfig = new OAuthConfig(""key"", ""secret"");

        // Call the getApiKey() method
        String apiKey = oauthConfig.getApiKey();

        // Assert that the returned apiKey is not null
        assertNotNull(apiKey);

        // Assert that the returned apiKey is equal to the expected value
        assertEquals(""key"", apiKey);
    }",3,3,3,3
"public void setText(String text) {
    this.text = text;
}","@Test public void testSetText() throws Exception { CommentData commentData = new CommentData(); commentData.setText(""test""); assertEquals(""test"", commentData.getText()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test00() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setText(""org.jinstagram.entity.common.FromTagData"");
    String string0 = commentData0.getText();
    assertEquals(""org.jinstagram.entity.common.FromTagData"", string0);
}",3,3,3,3,"    @Test
    public void testSetText() {
        // Create an instance of CommentData
        CommentData commentData = new CommentData();

        // Set the text using the setText method
        String text = ""This is a test comment"";
        commentData.setText(text);

        // Verify that the text has been set correctly
        assertEquals(text, commentData.getText());
    }",3,3,2,2
"public String getText() {
    return text;
}","@Test public void testGetText() { assertEquals(text, commentData.getText()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setText(""org.jinstagram.entity.common.FromTagData"");
    String string0 = commentData0.getText();
    assertEquals(""org.jinstagram.entity.common.FromTagData"", string0);
}",3,3,3,3,"    @Test
    public void testGetText() {
        // Create a CommentData object
        CommentData commentData = new CommentData();
        
        // Set the text value
        commentData.setText(""This is a test comment"");
        
        // Retrieve the text value using getText() method
        String text = commentData.getText();
        
        // Verify that the retrieved text value is correct
        assertEquals(""This is a test comment"", text);
    }",3,3,3,3
"public void setId(String id) {
    this.id = id;
}","@Test public void testSetId() { CommentData commentData = new CommentData(); commentData.setId(""id""); Assert.assertEquals(""id"", commentData.getId()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test02() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setId(""bF~}(h/vw"");
    String string0 = commentData0.getId();
    assertEquals(""bF~}(h/vw"", string0);
}",3,3,3,3,"    @Test
    public void testSetId() {
        // Create a new CommentData object
        CommentData commentData = new CommentData();

        // Set the id using the setId method
        String id = ""123"";
        commentData.setId(id);

        // Verify that the id has been set correctly
        assertEquals(id, commentData.getId());
    }",3,3,3,3
"public String getId() {
    return id;
}","@Test public void testGetId() { assertEquals(""id"", commentData.getId()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test02() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setId(""bF~}(h/vw"");
    String string0 = commentData0.getId();
    assertEquals(""bF~}(h/vw"", string0);
}",3,3,3,3,"    @Test
    public void testGetId() {
        // Create a CommentData object
        CommentData commentData = new CommentData();
        
        // Set the id attribute
        commentData.setId(""12345"");
        
        // Call the getId() method and assert the returned value
        assertEquals(""12345"", commentData.getId());
    }",3,3,3,3
"public void setCreatedTime(String createdTime) {
    this.createdTime = createdTime;
}","@Test public void testSetCreatedTime() throws Exception { CommentData commentData = new CommentData(); commentData.setCreatedTime(""1""); Assert.assertEquals(""1"", commentData.getCreatedTime()); Assert.assertEquals(""1"", commentData.getCreatedTime()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test04() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setCreatedTime(""3v([Q$"");
    String string0 = commentData0.getCreatedTime();
    assertEquals(""3v([Q$"", string0);
}",3,2,2,2,"    @Test
    public void testSetCreatedTime() {
        // Create an instance of CommentData
        CommentData commentData = new CommentData();

        // Set the created time using the setCreatedTime method
        String createdTime = ""2021-10-01 10:00:00"";
        commentData.setCreatedTime(createdTime);

        // Verify that the created time is set correctly
        assertEquals(createdTime, commentData.getCreatedTime());
    }",3,3,3,3
"public String getCreatedTime() {
    return createdTime;
}","@Test public void testGetCreatedTime() { assertEquals(createdTime, commentData.getCreatedTime()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test04() throws Throwable {
    CommentData commentData0 = new CommentData();
    commentData0.setCreatedTime(""3v([Q$"");
    String string0 = commentData0.getCreatedTime();
    assertEquals(""3v([Q$"", string0);
}",3,3,3,3,"    @Test
    public void testGetCreatedTime() {
        // Create a CommentData object
        CommentData commentData = new CommentData();
        
        // Set the createdTime value
        String expectedCreatedTime = ""2021-10-01 10:00:00"";
        commentData.setCreatedTime(expectedCreatedTime);
        
        // Retrieve the createdTime value using the getCreatedTime() method
        String actualCreatedTime = commentData.getCreatedTime();
        
        // Assert that the retrieved createdTime value matches the expected value
        assertEquals(expectedCreatedTime, actualCreatedTime);
    }",3,3,3,3
